Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.120502496064328,8.95117313604032E-16,-0.075001501781442,0,0,0,27.2994345133224,0.619934521331604,6.70760592831149E-21,4.94033532068559E-06,0.352604710153588,8.96105449966593E-21,0.870170178643224,0,0,0,0,0,0,package://wust_arm_7axis/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/base_link.STL,,抽象底盘-1,坐标系_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00125620853336017,0.033093637817106,0.0641514370569444,0,0,0,0.723158945021565,0.000720268286282968,6.45885358459913E-08,-1.50797269022358E-05,0.00100533682267837,-2.69513285436901E-07,0.000795201372032254,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link1.STL,0.525490196078431,0.525490196078431,0.525490196078431,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link1.STL,,大臂限位板-1;连杆固定板CNC-1;连杆固定板CNC-2;link0左-1;达妙8009-1/国赛工程DM 8116 外形尺寸图-1;双轴承座BGRBM10-2;J0-1;link0右-1;大臂限位板2-2;底座CNC-1,坐标系1,link1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,40,3.14,-3.14,3.14,,,,,,,,
link2,0.166772951554777,0.00133343750447744,-0.0529123106897995,0,0,0,1.2030845470005,0.000763772340354205,-2.14315156193947E-05,3.73077663532061E-09,0.00662932005534295,6.17284860926991E-09,0.00697795916787753,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link2.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link2.STL,,link1右-1;单排链轮04C-25-1;薄壁轴承50-62-6-1;限位挡板前-1;link1左-1;单排链轮04C-27-3;限位圈-1;J2-1;双轴承座BGRBM10-1;大臂加固铝方管2-1;大臂加固铝方管1-1;J2电机座CNC-1;达妙8009-3/国赛工程DM 8116 外形尺寸图-1,坐标系2,link2,joint2,revolute,-0.0125,0.0483,0.085,1.5708,-0.27343,3.1416,link1,0,0,1,40,3.14,0,1.69,,,,,,,,
link3,0.151381490479682,5.58286750163006E-10,1.54737334057131E-15,0,0,0,0.21057545092203,7.32845327268275E-05,1.00976936400377E-15,1.94164029643432E-08,0.00107561680138595,2.09214504194762E-19,0.00108891525686989,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link3.STL,,小臂连接传动板-2;小臂连接传动板-1;杰创森法兰联轴器-7;杰创森法兰联轴器-6;法兰联轴器轴轴套2-1;铝方管小臂-1;小臂从动连接板大-2;小臂从动连接板大-1;推力球轴承6-14-5-6;从动末端垫片-2;推力球轴承6-14-5-5;从动末端垫片-1,坐标系3,link3,joint3,revolute,0.36,0,-0.04695,-3.1416,0,2.8207,link2,0,0,1,40,3.14,-1.01,0.98,,,,,,,,
link_fo3,0.0629433139060436,0.00228977747938039,-0.0300550992677305,0,0,0,0.296088068281667,0.000168484046032846,-7.55868763670676E-05,-2.196130165783E-08,0.000264481031134757,9.07665637087609E-13,0.000367885983716813,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link_fo3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link_fo3.STL,,码垛末端连接-6;码垛末端连接-5;末yaw固定板2-1;末yaw固定板-1;推力球轴承-3;4310 减速电机 3D 20240304-2/4310 减速电机 3D 20240304.STEP-1/4310 ________________ Ver.B.STEP-1;4310 减速电机 3D 20240304-2/4310 减速电机 3D 20240304.STEP-1/g43_v1_1_220606a.STEP-1;4310 减速电机 3D 20240304-2/4310 减速电机 3D 20240304.STEP-1/4310 ________Ver.B 3D.STEP-1;铜柱M5-25-1;铜柱M5-25-3;铜柱M5-25-4;铜柱M5-25-2,坐标系fo3,linkfo3,joint_fo3,continuous,0.35582,0,-0.03005,3.1416,0,-0.047476,link3,0,0,1,,,,,,,,,,,,
link4,-4.55320450171159E-06,-0.106963810758602,0.035313225239026,0,0,0,0.331597742101891,0.000549294098382911,-9.07666477049039E-13,-2.19613016574961E-08,0.0001356215270235,-1.14067871173502E-08,0.000572956011192102,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link4.STL,,末端连接碳板-1;末端连接碳板2-1;末YAW固定板哇咔咔-2;末YAW固定板哇咔咔-1;末roll连接板-1;4310 减速电机 3D 20240304-3/4310 减速电机 3D 20240304.STEP-1/4310 ________Ver.B 3D.STEP-1;4310 减速电机 3D 20240304-3/4310 减速电机 3D 20240304.STEP-1/4310 ________________ Ver.B.STEP-1;4310 减速电机 3D 20240304-3/4310 减速电机 3D 20240304.STEP-1/g43_v1_1_220606a.STEP-1,坐标系4,link4,joint4,revolute,0.089959,0.036251,-0.03005,1.5708,-1.5708,0,link_fo3,0,0,1,40,3.14,-1.74,1.74,,,,,,,,
link5,9.60200378363751E-06,0.00042405332124229,0.0708823263397289,0,0,0,0.157241376595175,5.76749088512252E-05,-9.07665717199825E-13,2.19613016575658E-08,7.34477643995526E-05,1.14067864476608E-08,4.75700238235781E-05,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link5.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link5.STL,,末roll连接板2-1;达妙垫块-2;末roll连接板3-1;末pitch连接板1-1;末pitch连接板2-1;4310 减速电机 3D 20240304-4/4310 减速电机 3D 20240304.STEP-1/4310 ________Ver.B 3D.STEP-1;4310 减速电机 3D 20240304-4/4310 减速电机 3D 20240304.STEP-1/4310 ________________ Ver.B.STEP-1;4310 减速电机 3D 20240304-4/4310 减速电机 3D 20240304.STEP-1/g43_v1_1_220606a.STEP-1,坐标系5,link5,joint5,revolute,0,-0.166,0.03625,1.5708,-1.5708,0,link4,0,0,1,10,3.14,-3.14,3.14,,,,,,,,
link6,5.56268964042317E-05,0.0271165882016559,0.0503741401368465,0,0,0,0.327912822470066,0.000130747042046999,-2.31909424839049E-07,-5.13206607841642E-07,0.000191440624214798,-7.33307669154978E-06,0.000127924705156334,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link6.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link6.STL,,末roll连接板2-2;达妙垫块-1;吸盘铝件-1;末roll连接板CNC-2;6020电机-1,坐标系6,link6,joint6,revolute,0,0.02375,0.087,-1.5708,0,0,link5,0,0,1,10,3.14,-3.14,3.14,,,,,,,,
link7,-0.000129152383801415,8.17578156250554E-05,0.0027175376417754,0,0,0,0.00706000334794754,1.73385752275435E-06,-2.10834120973133E-22,2.65085861438835E-22,1.73385752275435E-06,3.29379178339262E-22,3.40212280669708E-06,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link7.STL,,吸盘连接件-1,坐标系7,link7,joint7,revolute,8.1758E-05,0.0075,0.056129,1.5708,-1.5708,0,link6,0,0,1,10,3.14,-3.14,3.14,,,,,,,,
link_fo2,0.14674443857331,0.00628512855090282,1.80411241501588E-15,0,0,0,0.150444871939757,3.49751305357588E-05,-3.73648814395138E-05,9.07803169811594E-09,0.000905761502652756,-8.33233797977117E-09,0.000892696334631136,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link_fo2.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://wust_arm_7axis/meshes/link_fo2.STL,,法兰联轴器M6-1;法兰联轴器轴套-1;法兰联轴器M6-2;小臂从动连接板-2;小臂从动-1;小臂从动连接板-1;从动末端连接板-2;从动末端连接板-1;推力球轴承6-14-5-8;推力球轴承6-14-5-7,坐标系fo2,linkfo2,joint_fo2,continuous,0.37753,0.062518,-0.04695,3.1416,0,2.8635,link2,0,0,1,,,,,,,,,,,,
